type,timestamp
non-target,1742015018.6953049
non-target,1742015019.697275
non-target,1742015020.6977768
non-target,1742015021.699142
target,1742015022.700244
non-target,1742015023.701013
non-target,1742015024.702531
non-target,1742015025.704331
target,1742015026.7056792
non-target,1742015027.707508
non-target,1742015028.708823
non-target,1742015029.7103
target,1742015030.713005
non-target,1742015031.7185578
target,1742015032.7215948
non-target,1742015033.7237499
non-target,1742015034.725507
target,1742015035.7265851
non-target,1742015036.72829
non-target,1742015037.72947
non-target,1742015038.7309902
non-target,1742015039.732694
non-target,1742015040.73368
non-target,1742015041.7354372
non-target,1742015042.738933
non-target,1742015043.7401412
non-target,1742015044.74172
non-target,1742015045.743258
target,1742015046.745161
target,1742015047.74666
non-target,1742015048.74716
non-target,1742015049.7486012
non-target,1742015050.750467
target,1742015051.75188
non-target,1742015052.753601
non-target,1742015053.755172
non-target,1742015054.756908
non-target,1742015055.757977
non-target,1742015056.7601311
non-target,1742015057.761323
non-target,1742015058.762654
non-target,1742015059.763818
non-target,1742015060.765564
non-target,1742015061.7672389
non-target,1742015062.769193
target,1742015063.770865
non-target,1742015064.772222
non-target,1742015065.773621
non-target,1742015066.7753
non-target,1742015067.777612
non-target,1742015068.7794151
non-target,1742015069.781384
target,1742015070.783247
non-target,1742015071.784479
non-target,1742015072.788074
non-target,1742015073.788859
non-target,1742015074.7906759
non-target,1742015075.791898
non-target,1742015076.7939599
target,1742015077.795603
target,1742015078.797473
non-target,1742015079.799011
non-target,1742015080.799468
non-target,1742015081.8001978
non-target,1742015082.801665
non-target,1742015083.803503
non-target,1742015084.805336
target,1742015085.807219
non-target,1742015086.8087091
non-target,1742015087.81003
non-target,1742015088.811287
target,1742015089.812543
non-target,1742015090.814235
non-target,1742015091.81559
non-target,1742015092.817628
non-target,1742015093.819222
target,1742015094.820364
non-target,1742015095.821745
non-target,1742015096.8250968
non-target,1742015097.830244
non-target,1742015098.833465
non-target,1742015099.83493
non-target,1742015100.836664
non-target,1742015101.8385978
non-target,1742015102.839815
non-target,1742015103.843264
non-target,1742015104.844791
non-target,1742015105.848031
non-target,1742015106.849673
non-target,1742015107.8522282
target,1742015108.8532648
target,1742015109.855306
non-target,1742015110.856839
non-target,1742015111.8581939
target,1742015112.860487
non-target,1742015113.865433
non-target,1742015114.867319
target,1742015115.86915
non-target,1742015116.8708851
non-target,1742015117.872515
